"__v",_id,coordinates,createdAt,geo,hashtags.0.indices.0,hashtags.0.indices.1,hashtags.0.text,hashtags.1.indices.0,hashtags.1.indices.1,hashtags.1.text,place.attributes,place.bounding_box.coordinates.0.0.0,place.bounding_box.coordinates.0.0.1,place.bounding_box.coordinates.0.1.0,place.bounding_box.coordinates.0.1.1,place.bounding_box.coordinates.0.2.0,place.bounding_box.coordinates.0.2.1,place.bounding_box.coordinates.0.3.0,place.bounding_box.coordinates.0.3.1,place.bounding_box.type,place.country,place.country_code,place.full_name,place.id,place.name,place.place_type,place.url,text,tweetId,user.location,user.name,user.screenName
0,5adad7f7ccead8d725234469,,2018-04-21T06:19:32.000Z,,111,120,Business,121,129,Markets,,,,,,,,,,,,,,,,,,RT @PolitReporter: Credit card companies unite for a checkout button to take on PayPal\nhttps://t.co/he52ULLtz5\n#Business #Markets #Startup…,987576551599321090.0,,sudhanshu singh,a36bd88dbe14463
0,5adad7f9ccead8d725234476,,2018-04-21T06:19:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @NickCohen4: ""Johnson has performed the rare act of pissing inside the tent as well as outside of it."" by @georgeeaton https://t.co/0fSo…",987576552991940610.0,,graham,grezza_b
0,5adad7faccead8d725234483,,2018-04-21T06:19:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @mikegalsworthy: As they say in infomercials... \n\n“but wait, there’s more”\n\nhttps://t.co/J1YmcAM12o",987576553356910590.0,cambridge,marion warren# FBPE,marionwarren
0,5adad7faccead8d72523448c,,2018-04-21T06:19:34.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @GerardBattenMEP: The House of Lords are signing their own death warrant. They represent no one but themselves. The Lords should now be…,987576559409270780.0,,Lesley Bassadona,bassadona
0,5adad7fbccead8d72523449b,,2018-04-21T06:19:34.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @GregFoyster: Liberal Party using i360 in elections https://t.co/xXdHTgtGxB,987576560503803900.0,,Mark Plackett,MarkPlackett1
0,5adad7fbccead8d7252344a2,,2018-04-21T06:19:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @MarkSimoneNY: Jeff Sessions told The White House that if Rod Rosenstein is fired, he will quit. Wow, that's more  motivation than Tony…",987576561460183040.0,"Dallas, Texas",FBI Crimes,markgundy
0,5adad7fbccead8d7252344a6,,2018-04-21T06:19:35.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @dril: please join me iin eating one hundred bags of romaine lettuce if you are sick of the CDC rubbing their ass in our faces, with pol…",987576564123684860.0,UK,Leonod the 3rd,Harmchair
0,5adad7fbccead8d7252344ab,,2018-04-21T06:19:36.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @thatginamiller: EU rejects Irish border proposals.   Brussels officials conducted “a detailed and forensic rebuttal - none of the UK cu…,987576566287949820.0,"South Tipperary, Ireland",Mark Coughlan,mjc0ughlan
0,5adad7fbccead8d7252344af,,2018-04-21T06:19:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @happyloner: No honor or loyalty between treasonous criminals. https://t.co/Wwo6KrbucM,987576572365373440.0,West Michigan,Happier than I Look,stevgole
0,5adad7fbccead8d7252344b2,,2018-04-21T06:19:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @renato_mariotti: The former lawyer for @StormyDaniels and Karen McDougal is cooperating with federal prosecutors investigating Michael…,987576574592643070.0,United States,🌊JorielleBlueWave,JorieVS
0,5adad7fbccead8d7252344b6,,2018-04-21T06:19:38.000Z,,111,120,Business,121,129,Markets,,,,,,,,,,,,,,,,,,RT @PolitReporter: Credit card companies unite for a checkout button to take on PayPal\nhttps://t.co/he52ULLtz5\n#Business #Markets #Startup…,987576573464211460.0,,Chinnu,chinarisujji
0,5adad7fbccead8d7252344ba,,2018-04-21T06:19:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @kylegriffin1: The Education Department’s Office for Civil Rights has begun dismissing hundreds of civil rights complaints under a new p…,987576572948475900.0,,Tia Lucas,chigirl606
0,5adad7fbccead8d7252344bf,,2018-04-21T06:19:35.000Z,,111,120,Business,121,129,Markets,,,,,,,,,,,,,,,,,,RT @PolitReporter: Credit card companies unite for a checkout button to take on PayPal\nhttps://t.co/he52ULLtz5\n#Business #Markets #Startup…,987576563800588290.0,"Rajbhansi Nagar(Patna), Patna",Aishwarya,Aishwar02367682
0,5adad7fbccead8d7252344c2,,2018-04-21T06:19:37.000Z,,132,137,york,,,,,,,,,,,,,,,,,,,,,RT @BikeItYork: Game on!!!                                     https://t.co/pTHXDf3SkX @PersimmonHomes @PH_Contact @helpsavefulford #york #…,987576569790070780.0,"York, England",Paul,Atmorpa
0,5adad7fbccead8d7252344c7,,2018-04-21T06:19:37.000Z,,61,75,CJIDipakMisra,,,,,,,,,,,,,,,,,,,,,India stands with the epitome of Justice ! India stands with #CJIDipakMisra !\n\nJudiciary must never be imperiled in… https://t.co/RQL550zvto,987576570687705090.0,Dubai and Kerala,Rithik Manoj,rithikmanoj
0,5adad7fbccead8d7252344cd,,2018-04-21T06:19:37.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"Marco Rubio says Obama has 'no class,' cites Daily Show interview, likens him to Donald Trump | Naked Politics https://t.co/e1NsIWxRoQ",987576570855510020.0,"Portland, OR",Rad Lefty,Rad_Lefty
0,5adad7fbccead8d7252344d1,,2018-04-21T06:19:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @remain_central: “All the justifications for Brexit are being dismantled” — the MEPs fighting to stop British departure.\n\nMany MEPs beli…,987576574382936060.0,,sara challoner #FBPE,ChallonerSara
0,5adad7fbccead8d7252344e3,,2018-04-21T06:19:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @BaxterPeterba: There is a need for institutions such as the @AusFedPolice to be trusted. To be seen as impartial, truthful and honest.…",987576576916176900.0,Live outside your TV Box AU...,Charlie 🇦🇺 #NoWar #NotInMyName,joy1974S
0,5adad7fbccead8d7252344e7,,2018-04-21T06:19:38.000Z,,,,,,,,,,,,,,,,,,,,,,,,,"RT @KunjaloD: I didn’t want to tweet politics today, until this smart beautiful woman’s intervention captured me! https://t.co/7Qbsu6Z498",987576576807186430.0,"Nelspruit, South Africa",Nomfundo🌻,NdlovuNf
0,5adad7fbccead8d7252344ea,,2018-04-21T06:19:38.000Z,,13,24,SocialWork,25,35,SocWorkEd,,,,,,,,,,,,,,,,,,This thread 👇#SocialWork #SocWorkEd https://t.co/atCbrzae92,987576577092440060.0,"North West, England",Amanda Taylor,AMLTaylor66
0,5adad7fcccead8d7252344f3,,2018-04-21T06:19:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,It's a dark time in politics right now. What Trump is trying to do is downright scary. But it's also a tipping poin… https://t.co/xKEN6R7Wdx,987576578832990210.0,"Madison, WI","Kris ""Not that British Spy"" Steele",KrisWD40
0,5adad7fcccead8d7252344f7,,2018-04-21T06:19:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,Russian diplomat says Britain deserves title of world’s worst genocide perpetrator https://t.co/QXspGwV1Pj https://t.co/VKHrYSO71b,987576578971439100.0,,CagedSubversiv,CagedSubversiv
0,5adad7fcccead8d7252344fb,,2018-04-21T06:19:39.000Z,,,,,,,,,,,,,,,,,,,,,,,,,RT @ExSecular: Only problem is there are no ‘jan’ to believe congress doing anything for jan .. this call for impeachment will be a massive…,987576581081239550.0,kerala,Sreeni,r_sreeni
